"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Srsf2",-1.47768446324005,7.14345462192314,-17.988798295144,1.15795993300768e-25,1.66423220477057e-22,48.170563187114
"H2-T23",1.92123782487646,5.30935053548335,17.8858397067826,1.54393989303882e-25,2.10801833296055e-22,47.6718436160112
"Ly6c1",1.3071698597724,9.64568344785526,17.575224130345,3.70333442099037e-25,4.81556919209448e-22,46.856534434277
"Vill",1.70803849342847,5.73594633483963,17.450263835427,5.28143615183108e-25,6.55546259082051e-22,46.5659601313502
"Sfpq",-1.46774012637917,6.92141708286787,-17.3936844278164,6.20582590598562e-25,7.36793426151084e-22,46.5013149251503
"Tnc",-1.45311435235376,6.92719355135813,-17.2279823351977,9.97328669347527e-25,1.13475224891137e-21,46.0312398078558
"Hcfc1r1",1.40721708793647,7.02183255301911,17.1661501951799,1.19141997867232e-24,1.3013642143042e-21,45.8566345755416
"Eml2",1.48086509141127,6.36257555292559,16.8286310078576,3.1690668863493e-24,3.32837344098232e-21,44.8685798479014
"Macrod1",1.8304976775229,5.06218362474927,16.7860452629407,3.58871515496645e-24,3.62952017543218e-21,44.5643869807383
"Srsf1",-1.39328039232507,7.03951938370242,-16.33686313555,1.34939996043879e-23,1.28690447763e-20,43.4462018538791
"Hist1h1c",1.57972598390839,7.32371730608667,16.3204737376811,1.41684153003931e-23,1.28690447763e-20,43.3921176762117
